Seq. ID.	Class	AMP Probability
LENGTH_25_SEQ_569	NAMP	0.06
LENGTH_25_SEQ_570	NAMP	0.34
LENGTH_25_SEQ_571	NAMP	0.02
LENGTH_25_SEQ_572	NAMP	0.47
LENGTH_25_SEQ_573	NAMP	0.02
LENGTH_25_SEQ_574	NAMP	0.03
LENGTH_25_SEQ_575	NAMP	0.16
LENGTH_25_SEQ_576	NAMP	0.09
LENGTH_25_SEQ_577	NAMP	0.06
LENGTH_25_SEQ_578	NAMP	0.07
LENGTH_25_SEQ_579	NAMP	0.01
LENGTH_25_SEQ_580	NAMP	0.24
LENGTH_25_SEQ_581	NAMP	0.07
LENGTH_25_SEQ_582	AMP	0.61
LENGTH_25_SEQ_583	NAMP	0.13
LENGTH_25_SEQ_584	NAMP	0.16
LENGTH_25_SEQ_585	NAMP	0.02
LENGTH_25_SEQ_586	NAMP	0.10
LENGTH_25_SEQ_587	AMP	0.92
LENGTH_25_SEQ_588	NAMP	0.01
LENGTH_25_SEQ_589	NAMP	0.02
LENGTH_25_SEQ_590	NAMP	0.09
LENGTH_25_SEQ_591	NAMP	0.12
LENGTH_25_SEQ_592	NAMP	0.03
LENGTH_25_SEQ_593	NAMP	0.10
LENGTH_25_SEQ_594	NAMP	0.15
LENGTH_25_SEQ_595	NAMP	0.06
LENGTH_25_SEQ_596	AMP	0.61
LENGTH_25_SEQ_597	NAMP	0.42
LENGTH_25_SEQ_598	NAMP	0.07
LENGTH_25_SEQ_599	NAMP	0.31
LENGTH_25_SEQ_600	NAMP	0.05
LENGTH_25_SEQ_601	NAMP	0.06
LENGTH_25_SEQ_602	NAMP	0.09
LENGTH_25_SEQ_603	NAMP	0.04
LENGTH_25_SEQ_604	NAMP	0.02
LENGTH_25_SEQ_605	NAMP	0.03
LENGTH_25_SEQ_606	NAMP	0.12
LENGTH_25_SEQ_607	NAMP	0.05
LENGTH_25_SEQ_608	NAMP	0.28
LENGTH_25_SEQ_609	NAMP	0.06
LENGTH_25_SEQ_610	NAMP	0.02
LENGTH_25_SEQ_611	NAMP	0.03
LENGTH_25_SEQ_612	NAMP	0.04
LENGTH_25_SEQ_613	NAMP	0.17
LENGTH_25_SEQ_614	NAMP	0.06
LENGTH_25_SEQ_615	NAMP	0.02
LENGTH_25_SEQ_616	NAMP	0.11
LENGTH_25_SEQ_617	NAMP	0.49
LENGTH_25_SEQ_618	NAMP	0.04
LENGTH_25_SEQ_619	NAMP	0.04
LENGTH_25_SEQ_620	NAMP	0.05
LENGTH_25_SEQ_621	NAMP	0.07
LENGTH_25_SEQ_622	NAMP	0.12
LENGTH_25_SEQ_623	NAMP	0.24
LENGTH_25_SEQ_624	NAMP	0.03
LENGTH_25_SEQ_625	NAMP	0.39
LENGTH_25_SEQ_626	NAMP	0.10
LENGTH_25_SEQ_627	NAMP	0.12
LENGTH_25_SEQ_628	NAMP	0.01
LENGTH_25_SEQ_629	NAMP	0.11
LENGTH_25_SEQ_630	NAMP	0.36
LENGTH_25_SEQ_631	NAMP	0.49
LENGTH_25_SEQ_632	NAMP	0.13
LENGTH_25_SEQ_633	NAMP	0.03
LENGTH_25_SEQ_634	NAMP	0.08
LENGTH_25_SEQ_635	AMP	0.50
LENGTH_25_SEQ_636	NAMP	0.08
LENGTH_25_SEQ_637	NAMP	0.14
LENGTH_25_SEQ_638	NAMP	0.09
LENGTH_25_SEQ_639	NAMP	0.34
LENGTH_25_SEQ_640	NAMP	0.07
LENGTH_25_SEQ_641	NAMP	0.39
LENGTH_25_SEQ_642	NAMP	0.06
LENGTH_25_SEQ_643	NAMP	0.06
LENGTH_25_SEQ_644	NAMP	0.13
LENGTH_25_SEQ_645	NAMP	0.09
LENGTH_25_SEQ_646	NAMP	0.05
LENGTH_25_SEQ_647	NAMP	0.04
LENGTH_25_SEQ_648	NAMP	0.04
LENGTH_25_SEQ_649	NAMP	0.15
LENGTH_25_SEQ_650	NAMP	0.12
LENGTH_25_SEQ_651	NAMP	0.02
LENGTH_25_SEQ_652	NAMP	0.02
LENGTH_25_SEQ_653	AMP	0.58
LENGTH_25_SEQ_654	NAMP	0.04
LENGTH_25_SEQ_655	NAMP	0.11
LENGTH_25_SEQ_656	NAMP	0.06
LENGTH_25_SEQ_657	NAMP	0.11
LENGTH_25_SEQ_658	NAMP	0.04
LENGTH_25_SEQ_659	NAMP	0.12
LENGTH_25_SEQ_660	AMP	0.79
LENGTH_25_SEQ_661	NAMP	0.03
LENGTH_25_SEQ_662	NAMP	0.05
LENGTH_25_SEQ_663	NAMP	0.12
LENGTH_25_SEQ_664	AMP	0.96
LENGTH_25_SEQ_665	NAMP	0.04
LENGTH_25_SEQ_666	NAMP	0.07
LENGTH_25_SEQ_667	NAMP	0.05
LENGTH_25_SEQ_668	NAMP	0.16
LENGTH_25_SEQ_669	NAMP	0.10
LENGTH_25_SEQ_670	NAMP	0.02
LENGTH_25_SEQ_671	AMP	0.58
LENGTH_25_SEQ_672	NAMP	0.07
LENGTH_25_SEQ_673	NAMP	0.09
LENGTH_25_SEQ_674	NAMP	0.19
LENGTH_25_SEQ_675	NAMP	0.03
LENGTH_25_SEQ_676	NAMP	0.11
LENGTH_25_SEQ_677	NAMP	0.10
LENGTH_25_SEQ_678	NAMP	0.10
LENGTH_25_SEQ_679	NAMP	0.02
LENGTH_25_SEQ_680	NAMP	0.06
LENGTH_25_SEQ_681	NAMP	0.06
LENGTH_25_SEQ_682	NAMP	0.07
LENGTH_25_SEQ_683	NAMP	0.05
LENGTH_25_SEQ_684	NAMP	0.02
LENGTH_25_SEQ_685	NAMP	0.07
LENGTH_25_SEQ_686	NAMP	0.08
LENGTH_25_SEQ_687	NAMP	0.01
LENGTH_25_SEQ_688	NAMP	0.16
LENGTH_25_SEQ_689	NAMP	0.23
LENGTH_25_SEQ_690	NAMP	0.14
LENGTH_25_SEQ_691	NAMP	0.12
LENGTH_25_SEQ_692	NAMP	0.24
LENGTH_25_SEQ_693	NAMP	0.04
LENGTH_25_SEQ_694	NAMP	0.03
LENGTH_25_SEQ_695	NAMP	0.47
LENGTH_25_SEQ_696	NAMP	0.16
LENGTH_25_SEQ_697	NAMP	0.04
LENGTH_25_SEQ_698	NAMP	0.04
LENGTH_25_SEQ_699	NAMP	0.23
LENGTH_25_SEQ_700	NAMP	0.02
LENGTH_25_SEQ_701	NAMP	0.01
LENGTH_25_SEQ_702	NAMP	0.04
LENGTH_25_SEQ_703	NAMP	0.05
LENGTH_25_SEQ_704	NAMP	0.02
LENGTH_25_SEQ_705	NAMP	0.13
LENGTH_25_SEQ_706	NAMP	0.06
LENGTH_25_SEQ_707	NAMP	0.04
LENGTH_25_SEQ_708	NAMP	0.02
LENGTH_25_SEQ_709	NAMP	0.01
LENGTH_25_SEQ_710	NAMP	0.05
LENGTH_25_SEQ_711	NAMP	0.02
LENGTH_25_SEQ_712	NAMP	0.05
LENGTH_25_SEQ_713	NAMP	0.03
LENGTH_25_SEQ_714	NAMP	0.11
LENGTH_25_SEQ_715	NAMP	0.04
LENGTH_25_SEQ_716	NAMP	0.05
LENGTH_25_SEQ_717	NAMP	0.02
LENGTH_25_SEQ_718	NAMP	0.02
LENGTH_25_SEQ_719	NAMP	0.07
LENGTH_25_SEQ_720	NAMP	0.05
LENGTH_25_SEQ_721	NAMP	0.02
LENGTH_25_SEQ_722	NAMP	0.06
LENGTH_25_SEQ_723	NAMP	0.03
LENGTH_25_SEQ_724	NAMP	0.06
LENGTH_25_SEQ_725	NAMP	0.03
LENGTH_25_SEQ_726	NAMP	0.25
LENGTH_25_SEQ_727	NAMP	0.04
LENGTH_25_SEQ_728	NAMP	0.01
LENGTH_25_SEQ_729	NAMP	0.06
LENGTH_25_SEQ_730	AMP	0.63
LENGTH_25_SEQ_731	NAMP	0.22
LENGTH_25_SEQ_732	NAMP	0.06
LENGTH_25_SEQ_733	NAMP	0.01
LENGTH_25_SEQ_734	AMP	0.61
LENGTH_25_SEQ_735	NAMP	0.22
LENGTH_25_SEQ_736	NAMP	0.34
LENGTH_25_SEQ_737	NAMP	0.02
LENGTH_25_SEQ_738	NAMP	0.08
LENGTH_25_SEQ_739	NAMP	0.17
LENGTH_25_SEQ_740	NAMP	0.20
LENGTH_25_SEQ_741	NAMP	0.02
LENGTH_25_SEQ_742	NAMP	0.01
LENGTH_25_SEQ_743	NAMP	0.02
LENGTH_25_SEQ_744	NAMP	0.04
LENGTH_25_SEQ_745	NAMP	0.03
LENGTH_25_SEQ_746	NAMP	0.06
LENGTH_25_SEQ_747	NAMP	0.03
LENGTH_25_SEQ_748	NAMP	0.06
LENGTH_25_SEQ_749	NAMP	0.09
LENGTH_25_SEQ_750	NAMP	0.30
LENGTH_25_SEQ_751	NAMP	0.08
LENGTH_25_SEQ_752	NAMP	0.05
LENGTH_25_SEQ_753	NAMP	0.05
LENGTH_25_SEQ_754	NAMP	0.27
LENGTH_25_SEQ_755	NAMP	0.02
LENGTH_25_SEQ_756	NAMP	0.01
LENGTH_25_SEQ_757	NAMP	0.11
LENGTH_25_SEQ_758	NAMP	0.01
LENGTH_25_SEQ_759	NAMP	0.08
LENGTH_25_SEQ_760	NAMP	0.07
LENGTH_25_SEQ_761	NAMP	0.06
LENGTH_25_SEQ_762	NAMP	0.02
LENGTH_25_SEQ_763	NAMP	0.02
LENGTH_25_SEQ_764	NAMP	0.20
LENGTH_25_SEQ_765	NAMP	0.03
LENGTH_25_SEQ_766	NAMP	0.11
LENGTH_25_SEQ_767	NAMP	0.02
LENGTH_25_SEQ_768	NAMP	0.03
LENGTH_25_SEQ_769	NAMP	0.13
LENGTH_25_SEQ_770	NAMP	0.03
LENGTH_25_SEQ_771	NAMP	0.07
LENGTH_25_SEQ_772	NAMP	0.05
LENGTH_25_SEQ_773	AMP	0.52
LENGTH_25_SEQ_774	NAMP	0.01
LENGTH_25_SEQ_775	NAMP	0.22
LENGTH_25_SEQ_776	NAMP	0.05
LENGTH_25_SEQ_777	NAMP	0.08
LENGTH_25_SEQ_778	NAMP	0.04
LENGTH_25_SEQ_779	NAMP	0.31
LENGTH_25_SEQ_780	NAMP	0.11
LENGTH_25_SEQ_781	NAMP	0.02
LENGTH_25_SEQ_782	NAMP	0.19
LENGTH_25_SEQ_783	AMP	0.98
LENGTH_25_SEQ_784	NAMP	0.05
LENGTH_25_SEQ_785	NAMP	0.04
LENGTH_25_SEQ_786	NAMP	0.18
LENGTH_25_SEQ_787	NAMP	0.17
LENGTH_25_SEQ_788	NAMP	0.08
LENGTH_25_SEQ_789	NAMP	0.04
LENGTH_25_SEQ_790	NAMP	0.07
LENGTH_25_SEQ_791	NAMP	0.03
LENGTH_25_SEQ_792	NAMP	0.06
LENGTH_25_SEQ_793	NAMP	0.02
LENGTH_25_SEQ_794	NAMP	0.03
LENGTH_25_SEQ_795	NAMP	0.07
LENGTH_25_SEQ_796	NAMP	0.05
LENGTH_25_SEQ_797	AMP	0.68
LENGTH_25_SEQ_798	NAMP	0.03
LENGTH_25_SEQ_799	NAMP	0.10
LENGTH_25_SEQ_800	NAMP	0.03
LENGTH_25_SEQ_801	NAMP	0.09
LENGTH_25_SEQ_802	NAMP	0.02
LENGTH_25_SEQ_803	NAMP	0.05
LENGTH_25_SEQ_804	NAMP	0.07
LENGTH_25_SEQ_805	NAMP	0.02
LENGTH_25_SEQ_806	NAMP	0.06
LENGTH_25_SEQ_807	NAMP	0.03
LENGTH_25_SEQ_808	AMP	0.79
LENGTH_25_SEQ_809	NAMP	0.03
LENGTH_25_SEQ_810	NAMP	0.05
LENGTH_25_SEQ_811	NAMP	0.02
LENGTH_25_SEQ_812	NAMP	0.07
LENGTH_25_SEQ_813	NAMP	0.04
LENGTH_25_SEQ_814	NAMP	0.02
LENGTH_25_SEQ_815	NAMP	0.04
LENGTH_25_SEQ_816	NAMP	0.04
LENGTH_25_SEQ_817	NAMP	0.01
LENGTH_25_SEQ_818	NAMP	0.05
LENGTH_25_SEQ_819	NAMP	0.06
LENGTH_25_SEQ_820	NAMP	0.05
LENGTH_25_SEQ_821	NAMP	0.02
LENGTH_25_SEQ_822	AMP	0.57
LENGTH_25_SEQ_823	AMP	0.61
LENGTH_25_SEQ_824	NAMP	0.42
LENGTH_25_SEQ_825	NAMP	0.04
LENGTH_25_SEQ_826	NAMP	0.35
LENGTH_25_SEQ_827	NAMP	0.06
LENGTH_25_SEQ_828	NAMP	0.07
LENGTH_25_SEQ_829	NAMP	0.08
LENGTH_25_SEQ_830	AMP	0.86
LENGTH_25_SEQ_831	NAMP	0.06
LENGTH_25_SEQ_832	NAMP	0.09
LENGTH_25_SEQ_833	NAMP	0.09
LENGTH_25_SEQ_834	NAMP	0.05
LENGTH_25_SEQ_835	NAMP	0.33
LENGTH_25_SEQ_836	NAMP	0.26
LENGTH_25_SEQ_837	NAMP	0.01
LENGTH_25_SEQ_838	NAMP	0.04
LENGTH_25_SEQ_839	NAMP	0.03
LENGTH_25_SEQ_840	AMP	0.52
LENGTH_25_SEQ_841	NAMP	0.08
LENGTH_25_SEQ_842	NAMP	0.30
LENGTH_25_SEQ_843	NAMP	0.18
LENGTH_25_SEQ_844	NAMP	0.07
LENGTH_25_SEQ_845	NAMP	0.06
LENGTH_25_SEQ_846	NAMP	0.06
LENGTH_25_SEQ_847	NAMP	0.07
LENGTH_25_SEQ_848	NAMP	0.11
LENGTH_25_SEQ_849	NAMP	0.03
LENGTH_25_SEQ_850	NAMP	0.02
LENGTH_25_SEQ_851	NAMP	0.07
LENGTH_25_SEQ_852	NAMP	0.05
LENGTH_25_SEQ_853	NAMP	0.01
LENGTH_25_SEQ_854	NAMP	0.19
LENGTH_25_SEQ_855	AMP	0.77
LENGTH_25_SEQ_856	NAMP	0.03
LENGTH_25_SEQ_857	NAMP	0.21
LENGTH_25_SEQ_858	NAMP	0.03
LENGTH_25_SEQ_859	NAMP	0.02
LENGTH_25_SEQ_860	NAMP	0.16
LENGTH_25_SEQ_861	NAMP	0.03
LENGTH_25_SEQ_862	AMP	0.52
LENGTH_25_SEQ_863	NAMP	0.04
LENGTH_25_SEQ_864	NAMP	0.02
LENGTH_25_SEQ_865	NAMP	0.27
LENGTH_25_SEQ_866	NAMP	0.06
LENGTH_25_SEQ_867	NAMP	0.01
LENGTH_25_SEQ_868	NAMP	0.08
LENGTH_25_SEQ_869	NAMP	0.02
LENGTH_25_SEQ_870	NAMP	0.03
LENGTH_25_SEQ_871	NAMP	0.03
LENGTH_25_SEQ_872	NAMP	0.10
LENGTH_25_SEQ_873	NAMP	0.09
LENGTH_25_SEQ_874	AMP	0.75
LENGTH_25_SEQ_875	NAMP	0.27
LENGTH_25_SEQ_876	NAMP	0.08
LENGTH_25_SEQ_877	NAMP	0.03
LENGTH_25_SEQ_878	NAMP	0.37
LENGTH_25_SEQ_879	NAMP	0.13
LENGTH_25_SEQ_880	NAMP	0.09
LENGTH_25_SEQ_881	NAMP	0.08
LENGTH_25_SEQ_882	NAMP	0.10
LENGTH_25_SEQ_883	NAMP	0.07
LENGTH_25_SEQ_884	NAMP	0.37
LENGTH_25_SEQ_885	NAMP	0.26
LENGTH_25_SEQ_886	NAMP	0.05
LENGTH_25_SEQ_887	NAMP	0.36
LENGTH_25_SEQ_888	NAMP	0.02
LENGTH_25_SEQ_889	NAMP	0.02
LENGTH_25_SEQ_890	NAMP	0.06
LENGTH_25_SEQ_891	NAMP	0.08
LENGTH_25_SEQ_892	NAMP	0.11
LENGTH_25_SEQ_893	NAMP	0.06
LENGTH_25_SEQ_894	NAMP	0.27
LENGTH_25_SEQ_895	NAMP	0.06
LENGTH_25_SEQ_896	NAMP	0.04
LENGTH_25_SEQ_897	NAMP	0.47
LENGTH_25_SEQ_898	NAMP	0.12
LENGTH_25_SEQ_899	NAMP	0.03
LENGTH_25_SEQ_900	NAMP	0.03
LENGTH_25_SEQ_901	NAMP	0.13
LENGTH_25_SEQ_902	NAMP	0.45
LENGTH_25_SEQ_903	NAMP	0.31
LENGTH_25_SEQ_904	NAMP	0.09
LENGTH_25_SEQ_905	NAMP	0.16
LENGTH_25_SEQ_906	NAMP	0.19
LENGTH_25_SEQ_907	NAMP	0.04
LENGTH_25_SEQ_908	NAMP	0.15
LENGTH_25_SEQ_909	NAMP	0.07
LENGTH_25_SEQ_910	NAMP	0.05
LENGTH_25_SEQ_911	NAMP	0.05
LENGTH_25_SEQ_912	NAMP	0.05
LENGTH_25_SEQ_913	NAMP	0.05
LENGTH_25_SEQ_914	AMP	0.95
LENGTH_25_SEQ_915	NAMP	0.05
LENGTH_25_SEQ_916	NAMP	0.10
LENGTH_25_SEQ_917	NAMP	0.17
LENGTH_25_SEQ_918	NAMP	0.03
LENGTH_25_SEQ_919	AMP	0.70
LENGTH_25_SEQ_920	NAMP	0.02
LENGTH_25_SEQ_921	NAMP	0.01
LENGTH_25_SEQ_922	NAMP	0.09
LENGTH_25_SEQ_923	NAMP	0.32
LENGTH_25_SEQ_924	NAMP	0.01
LENGTH_25_SEQ_925	NAMP	0.11
LENGTH_25_SEQ_926	NAMP	0.01
LENGTH_25_SEQ_927	NAMP	0.07
LENGTH_25_SEQ_928	NAMP	0.09
LENGTH_25_SEQ_929	NAMP	0.04
LENGTH_25_SEQ_930	NAMP	0.08
LENGTH_25_SEQ_931	NAMP	0.07
LENGTH_25_SEQ_932	NAMP	0.04
LENGTH_25_SEQ_933	NAMP	0.05
LENGTH_25_SEQ_934	NAMP	0.13
LENGTH_25_SEQ_935	NAMP	0.15
LENGTH_25_SEQ_936	NAMP	0.04
LENGTH_25_SEQ_937	NAMP	0.08
LENGTH_25_SEQ_938	AMP	0.62
LENGTH_25_SEQ_939	NAMP	0.12
LENGTH_25_SEQ_940	NAMP	0.03
LENGTH_25_SEQ_941	NAMP	0.03
LENGTH_25_SEQ_942	NAMP	0.12
LENGTH_25_SEQ_943	NAMP	0.08
LENGTH_25_SEQ_944	NAMP	0.05
LENGTH_25_SEQ_945	NAMP	0.10
LENGTH_25_SEQ_946	NAMP	0.11
LENGTH_25_SEQ_947	NAMP	0.04
LENGTH_25_SEQ_948	NAMP	0.06
LENGTH_25_SEQ_949	NAMP	0.08
LENGTH_25_SEQ_950	NAMP	0.10
LENGTH_25_SEQ_951	NAMP	0.18
LENGTH_25_SEQ_952	NAMP	0.42
LENGTH_25_SEQ_953	NAMP	0.06
LENGTH_25_SEQ_954	NAMP	0.08
LENGTH_25_SEQ_955	NAMP	0.14
LENGTH_25_SEQ_956	NAMP	0.32
LENGTH_25_SEQ_957	NAMP	0.05
LENGTH_25_SEQ_958	NAMP	0.07
LENGTH_25_SEQ_959	NAMP	0.04
LENGTH_25_SEQ_960	NAMP	0.17
LENGTH_25_SEQ_961	NAMP	0.07
LENGTH_25_SEQ_962	NAMP	0.01
LENGTH_25_SEQ_963	NAMP	0.03
LENGTH_25_SEQ_964	NAMP	0.02
LENGTH_25_SEQ_965	NAMP	0.05
LENGTH_25_SEQ_966	NAMP	0.05
LENGTH_25_SEQ_967	NAMP	0.06
LENGTH_25_SEQ_968	NAMP	0.05
LENGTH_25_SEQ_969	NAMP	0.03
LENGTH_25_SEQ_970	NAMP	0.04
LENGTH_25_SEQ_971	NAMP	0.04
LENGTH_25_SEQ_972	NAMP	0.10
LENGTH_25_SEQ_973	NAMP	0.24
LENGTH_25_SEQ_974	NAMP	0.07
LENGTH_25_SEQ_975	NAMP	0.01
LENGTH_25_SEQ_976	NAMP	0.09
LENGTH_25_SEQ_977	NAMP	0.42
LENGTH_25_SEQ_978	AMP	0.73
LENGTH_25_SEQ_979	NAMP	0.04
LENGTH_25_SEQ_980	NAMP	0.30
LENGTH_25_SEQ_981	NAMP	0.08
LENGTH_25_SEQ_982	NAMP	0.06
LENGTH_25_SEQ_983	NAMP	0.05
LENGTH_25_SEQ_984	NAMP	0.45
LENGTH_25_SEQ_985	NAMP	0.03
LENGTH_25_SEQ_986	NAMP	0.38
LENGTH_25_SEQ_987	NAMP	0.02
LENGTH_25_SEQ_988	NAMP	0.01
LENGTH_25_SEQ_989	NAMP	0.26
LENGTH_25_SEQ_990	AMP	0.91
LENGTH_25_SEQ_991	NAMP	0.03
LENGTH_25_SEQ_992	NAMP	0.10
LENGTH_25_SEQ_993	AMP	0.74
LENGTH_25_SEQ_994	NAMP	0.39
LENGTH_25_SEQ_995	NAMP	0.07
LENGTH_25_SEQ_996	NAMP	0.19
LENGTH_25_SEQ_997	NAMP	0.04
LENGTH_25_SEQ_998	NAMP	0.17
LENGTH_25_SEQ_999	NAMP	0.01
LENGTH_25_SEQ_1000	NAMP	0.03
LENGTH_30_SEQ_1	NAMP	0.03
LENGTH_30_SEQ_2	NAMP	0.09
LENGTH_30_SEQ_3	NAMP	0.05
LENGTH_30_SEQ_4	NAMP	0.05
LENGTH_30_SEQ_5	NAMP	0.11
LENGTH_30_SEQ_6	NAMP	0.05
LENGTH_30_SEQ_7	NAMP	0.03
LENGTH_30_SEQ_8	NAMP	0.02
LENGTH_30_SEQ_9	NAMP	0.07
LENGTH_30_SEQ_10	NAMP	0.05
LENGTH_30_SEQ_11	NAMP	0.02
LENGTH_30_SEQ_12	NAMP	0.04
LENGTH_30_SEQ_13	NAMP	0.03
LENGTH_30_SEQ_14	NAMP	0.10
LENGTH_30_SEQ_15	NAMP	0.27
LENGTH_30_SEQ_16	NAMP	0.12
LENGTH_30_SEQ_17	NAMP	0.17
LENGTH_30_SEQ_18	NAMP	0.21
LENGTH_30_SEQ_19	NAMP	0.06
LENGTH_30_SEQ_20	NAMP	0.02
LENGTH_30_SEQ_21	NAMP	0.16
LENGTH_30_SEQ_22	NAMP	0.03
LENGTH_30_SEQ_23	NAMP	0.05
LENGTH_30_SEQ_24	NAMP	0.10
LENGTH_30_SEQ_25	NAMP	0.04
LENGTH_30_SEQ_26	NAMP	0.10
LENGTH_30_SEQ_27	AMP	0.64
LENGTH_30_SEQ_28	NAMP	0.20
LENGTH_30_SEQ_29	NAMP	0.05
LENGTH_30_SEQ_30	NAMP	0.09
LENGTH_30_SEQ_31	NAMP	0.02
LENGTH_30_SEQ_32	NAMP	0.03
LENGTH_30_SEQ_33	NAMP	0.03
LENGTH_30_SEQ_34	NAMP	0.03
LENGTH_30_SEQ_35	NAMP	0.03
LENGTH_30_SEQ_36	NAMP	0.01
LENGTH_30_SEQ_37	NAMP	0.11
LENGTH_30_SEQ_38	NAMP	0.03
LENGTH_30_SEQ_39	NAMP	0.18
LENGTH_30_SEQ_40	NAMP	0.06
LENGTH_30_SEQ_41	AMP	0.60
LENGTH_30_SEQ_42	NAMP	0.04
LENGTH_30_SEQ_43	NAMP	0.05
LENGTH_30_SEQ_44	NAMP	0.02
LENGTH_30_SEQ_45	NAMP	0.02
LENGTH_30_SEQ_46	NAMP	0.02
LENGTH_30_SEQ_47	AMP	0.76
LENGTH_30_SEQ_48	NAMP	0.04
LENGTH_30_SEQ_49	NAMP	0.02
LENGTH_30_SEQ_50	NAMP	0.03
LENGTH_30_SEQ_51	NAMP	0.05
LENGTH_30_SEQ_52	NAMP	0.03
LENGTH_30_SEQ_53	NAMP	0.20
LENGTH_30_SEQ_54	NAMP	0.02
LENGTH_30_SEQ_55	NAMP	0.04
LENGTH_30_SEQ_56	AMP	0.53
LENGTH_30_SEQ_57	NAMP	0.11
LENGTH_30_SEQ_58	NAMP	0.02
LENGTH_30_SEQ_59	NAMP	0.06
LENGTH_30_SEQ_60	NAMP	0.04
LENGTH_30_SEQ_61	NAMP	0.04
LENGTH_30_SEQ_62	NAMP	0.07
LENGTH_30_SEQ_63	NAMP	0.08
LENGTH_30_SEQ_64	NAMP	0.08
LENGTH_30_SEQ_65	NAMP	0.01
LENGTH_30_SEQ_66	NAMP	0.09
LENGTH_30_SEQ_67	NAMP	0.02
LENGTH_30_SEQ_68	NAMP	0.04
LENGTH_30_SEQ_69	NAMP	0.16
LENGTH_30_SEQ_70	NAMP	0.33
LENGTH_30_SEQ_71	NAMP	0.03
LENGTH_30_SEQ_72	NAMP	0.02
LENGTH_30_SEQ_73	NAMP	0.13
LENGTH_30_SEQ_74	NAMP	0.09
LENGTH_30_SEQ_75	NAMP	0.29
LENGTH_30_SEQ_76	NAMP	0.04
LENGTH_30_SEQ_77	NAMP	0.01
LENGTH_30_SEQ_78	NAMP	0.02
LENGTH_30_SEQ_79	NAMP	0.03
LENGTH_30_SEQ_80	NAMP	0.02
LENGTH_30_SEQ_81	NAMP	0.05
LENGTH_30_SEQ_82	NAMP	0.48
LENGTH_30_SEQ_83	NAMP	0.04
LENGTH_30_SEQ_84	AMP	0.68
LENGTH_30_SEQ_85	NAMP	0.02
LENGTH_30_SEQ_86	NAMP	0.10
LENGTH_30_SEQ_87	NAMP	0.06
LENGTH_30_SEQ_88	AMP	0.78
LENGTH_30_SEQ_89	NAMP	0.06
LENGTH_30_SEQ_90	NAMP	0.11
LENGTH_30_SEQ_91	NAMP	0.04
LENGTH_30_SEQ_92	NAMP	0.03
LENGTH_30_SEQ_93	NAMP	0.02
LENGTH_30_SEQ_94	NAMP	0.15
LENGTH_30_SEQ_95	NAMP	0.06
LENGTH_30_SEQ_96	NAMP	0.03
LENGTH_30_SEQ_97	NAMP	0.11
LENGTH_30_SEQ_98	NAMP	0.12
LENGTH_30_SEQ_99	NAMP	0.09
LENGTH_30_SEQ_100	NAMP	0.03
LENGTH_30_SEQ_101	NAMP	0.09
LENGTH_30_SEQ_102	NAMP	0.02
LENGTH_30_SEQ_103	NAMP	0.01
LENGTH_30_SEQ_104	NAMP	0.03
LENGTH_30_SEQ_105	NAMP	0.04
LENGTH_30_SEQ_106	NAMP	0.12
LENGTH_30_SEQ_107	NAMP	0.05
LENGTH_30_SEQ_108	NAMP	0.09
LENGTH_30_SEQ_109	NAMP	0.13
LENGTH_30_SEQ_110	NAMP	0.01
LENGTH_30_SEQ_111	NAMP	0.14
LENGTH_30_SEQ_112	NAMP	0.04
LENGTH_30_SEQ_113	NAMP	0.06
LENGTH_30_SEQ_114	AMP	0.61
LENGTH_30_SEQ_115	NAMP	0.34
LENGTH_30_SEQ_116	NAMP	0.11
LENGTH_30_SEQ_117	NAMP	0.04
LENGTH_30_SEQ_118	NAMP	0.08
LENGTH_30_SEQ_119	NAMP	0.07
LENGTH_30_SEQ_120	NAMP	0.02
LENGTH_30_SEQ_121	NAMP	0.06
LENGTH_30_SEQ_122	NAMP	0.03
LENGTH_30_SEQ_123	NAMP	0.08
LENGTH_30_SEQ_124	NAMP	0.03
LENGTH_30_SEQ_125	NAMP	0.10
LENGTH_30_SEQ_126	AMP	0.77
LENGTH_30_SEQ_127	NAMP	0.31
LENGTH_30_SEQ_128	NAMP	0.25
LENGTH_30_SEQ_129	NAMP	0.09
LENGTH_30_SEQ_130	NAMP	0.04
LENGTH_30_SEQ_131	NAMP	0.02
LENGTH_30_SEQ_132	NAMP	0.24
LENGTH_30_SEQ_133	NAMP	0.06
LENGTH_30_SEQ_134	NAMP	0.07
LENGTH_30_SEQ_135	NAMP	0.01
LENGTH_30_SEQ_136	NAMP	0.04
LENGTH_30_SEQ_137	NAMP	0.02
LENGTH_30_SEQ_138	NAMP	0.03
LENGTH_30_SEQ_139	NAMP	0.10
LENGTH_30_SEQ_140	NAMP	0.02
LENGTH_30_SEQ_141	NAMP	0.06
LENGTH_30_SEQ_142	NAMP	0.05
LENGTH_30_SEQ_143	NAMP	0.02
LENGTH_30_SEQ_144	NAMP	0.10
LENGTH_30_SEQ_145	NAMP	0.07
LENGTH_30_SEQ_146	NAMP	0.05
LENGTH_30_SEQ_147	NAMP	0.10
LENGTH_30_SEQ_148	NAMP	0.27
LENGTH_30_SEQ_149	NAMP	0.02
LENGTH_30_SEQ_150	NAMP	0.45
LENGTH_30_SEQ_151	NAMP	0.05
LENGTH_30_SEQ_152	NAMP	0.03
